Snapshot for date: 18/1/2005
__SCHEDULE__::mensal $ | SCHEDULE | mensal $
f84eb0cf-4e51-4611-bde5-c47f8e8d86b9 | Suzana Vieira | 
c7a5bfef-8700-4c5a-8526-aa8324697c9d | Deborah Secco | 
4492f719-4e00-4bc2-b1e9-e5ad94bb7cae | Regina Duarte | 
2b367cab-765f-40ca-9d88-0d8a6ae7ab39 | Lavinia Vlasak | 
e4cfc49a-3873-42e4-a4c2-221463094e21 | Paloma Duarte | 
374b7bd9-2634-4801-804a-ac6a342ba624 | Claudia Raia | 
0aa2ccbe-00f6-4434-9809-e4fc8bbaef7e | Maite Proenca | 
__SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5
69d39cf3-42ab-4bb4-abac-dee4d7c05ab2 | Natalia do Valle | 
402fb3dc-5bd5-4981-b2ff-3aead0777656 | Flavia Alessandra | 
7b53700c-c672-4d58-870b-a9ebf88aa242 | Claudia Abreu | 
82cc21d0-6f5f-4012-be68-f973d1da50cc | Ana Paula Arosio | 
d5e05fee-0ff2-40d2-b533-cf60d85bf70d | Fernanda Montenegro | 
__SCHEDULE__::semanal 5 | SCHEDULE | semanal 5
